F, [2016-08-17T13:07:18.500321 #30446] FATAL -- : [efa9b92c-b949-4634-b8ec-5ae03316d052] actionpack (5.0.0.1) lib/action_dispatch/middleware/debug_exceptions.rb:53:in `call'
F, [2016-08-17T13:07:18.500356 #30446] FATAL -- : [efa9b92c-b949-4634-b8ec-5ae03316d052] actionpack (5.0.0.1) lib/action_dispatch/middleware/show_exceptions.rb:31:in `call'
F, [2016-08-17T13:07:18.500384 #30446] FATAL -- : [efa9b92c-b949-4634-b8ec-5ae03316d052] railties (5.0.0.1) lib/rails/rack/logger.rb:36:in `call_app'
F, [2016-08-17T13:07:18.500440 #30446] FATAL -- : [efa9b92c-b949-4634-b8ec-5ae03316d052] railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `block in call'
F, [2016-08-17T13:07:18.500475 #30446] FATAL -- : [efa9b92c-b949-4634-b8ec-5ae03316d052] activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `block in tagged'
F, [2016-08-17T13:07:18.500512 #30446] FATAL -- : [efa9b92c-b949-4634-b8ec-5ae03316d052] activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:26:in `tagged'
F, [2016-08-17T13:07:18.500543 #30446] FATAL -- : [efa9b92c-b949-4634-b8ec-5ae03316d052] activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `tagged'
F, [2016-08-17T13:07:18.500578 #30446] FATAL -- : [efa9b92c-b949-4634-b8ec-5ae03316d052] railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `call'
F, [2016-08-17T13:07:18.500602 #30446] FATAL -- : [efa9b92c-b949-4634-b8ec-5ae03316d052] actionpack (5.0.0.1) lib/action_dispatch/middleware/request_id.rb:24:in `call'
F, [2016-08-17T13:07:18.500641 #30446] FATAL -- : [efa9b92c-b949-4634-b8ec-5ae03316d052] rack (2.0.1) lib/rack/method_override.rb:22:in `call'
F, [2016-08-17T13:07:18.500675 #30446] FATAL -- : [efa9b92c-b949-4634-b8ec-5ae03316d052] rack (2.0.1) lib/rack/runtime.rb:22:in `call'
F, [2016-08-17T13:07:18.500697 #30446] FATAL -- : [efa9b92c-b949-4634-b8ec-5ae03316d052] activesupport (5.0.0.1) lib/active_support/cache/strategy/local_cache_middleware.rb:28:in `call'
F, [2016-08-17T13:07:18.500715 #30446] FATAL -- : [efa9b92c-b949-4634-b8ec-5ae03316d052] actionpack (5.0.0.1) lib/action_dispatch/middleware/executor.rb:12:in `call'
F, [2016-08-17T13:07:18.500752 #30446] FATAL -- : [efa9b92c-b949-4634-b8ec-5ae03316d052] rack (2.0.1) lib/rack/sendfile.rb:111:in `call'
F, [2016-08-17T13:07:18.500771 #30446] FATAL -- : [efa9b92c-b949-4634-b8ec-5ae03316d052] railties (5.0.0.1) lib/rails/engine.rb:522:in `call'
F, [2016-08-17T13:07:18.500800 #30446] FATAL -- : [efa9b92c-b949-4634-b8ec-5ae03316d052] passenger (5.0.30) src/ruby_supportlib/phusion_passenger/rack/thread_handler_extension.rb:97:in `process_request'
F, [2016-08-17T13:07:18.500831 #30446] FATAL -- : [efa9b92c-b949-4634-b8ec-5ae03316d052] passenger (5.0.30) src/ruby_supportlib/phusion_passenger/request_handler/thread_handler.rb:152:in `accept_and_process_next_request'
